Certificate,Award,Organization_Position,CS_Score,IT_Score,Animation_Score,IS_Score,Major
Science Fair,Top Innovator,President,78,77,59,51,Animation
Math Olympiad,Best in Leadership,Volunteer,99,99,100,73,Computer Science
ICT NCII,Excellence in Research,Secretary,98,91,65,83,IT
Debate Award,Best Speaker,Coordinator,74,66,94,88,Multimedia Arts
Math Olympiad,Excellence in Research,President,87,95,61,76,IT
Art Award,Outstanding Performance,Treasurer,82,75,57,99,Computer Science
Science Fair,Programming Contest Winner,President,100,56,62,73,Multimedia Arts
Research Symposium,Best Speaker,Treasurer,62,91,58,91,Animation
Music Competition,Best in Leadership,Volunteer,94,81,100,82,Animation
Hackathon,Programming Contest Winner,Volunteer,89,89,72,67,Computer Science
Science Fair,Best in Leadership,Volunteer,97,76,54,67,Information Systems
Math Olympiad,Outstanding Performance,Secretary,91,91,52,66,IT
Research Symposium,Outstanding Performance,Treasurer,91,80,99,87,Animation
Research Symposium,Excellence in Research,Assistant,80,94,71,95,Animation
Art Award,Outstanding Performance,Secretary,55,54,55,51,Multimedia Arts
Science Fair,Best in Arts,Coordinator,65,53,68,77,Computer Science
Hackathon,Programming Contest Winner,Member,89,91,92,89,Information Systems
Sports Meet,Best in Science,Assistant,99,59,50,85,Multimedia Arts
Research Symposium,Best in Math,Treasurer,59,77,51,59,Multimedia Arts
Debate Award,Best in Math,Treasurer,95,69,55,87,IT
Math Olympiad,Best in Science,Treasurer,54,85,97,79,IT
Music Competition,Best in Math,President,79,64,84,53,Multimedia Arts
Math Olympiad,Excellence in Research,Leader,84,78,55,73,Animation
ICT NCII,Top Innovator,Member,85,88,62,71,Computer Science
Science Fair,Top Innovator,Treasurer,97,85,83,99,IT
Art Award,Best in Leadership,Assistant,82,56,85,91,Animation
Debate Award,Best Speaker,Captain,64,84,94,90,Information Systems
Math Olympiad,Top Innovator,Assistant,75,75,54,59,IT
ICT NCII,Best in Arts,Coordinator,70,57,96,74,Animation
Hackathon,Top Innovator,Leader,94,79,75,64,Information Systems
Debate Award,Excellence in Research,Member,84,60,51,98,Multimedia Arts
Science Fair,Best in Math,Treasurer,65,80,85,82,Animation
Math Olympiad,Top Innovator,Vice President,82,52,68,51,Information Systems
Leadership Training,Programming Contest Winner,Member,63,70,85,91,Animation
Art Award,Top Innovator,Volunteer,58,51,72,51,Computer Science
Art Award,Excellence in Research,Volunteer,51,91,59,71,Multimedia Arts
Sports Meet,Best in Math,Vice President,97,89,82,69,Animation
Sports Meet,Best in Arts,Leader,62,75,52,96,Animation
Science Fair,Excellence in Research,Assistant,91,72,69,96,Animation
Leadership Training,Gold Medalist,Assistant,97,78,67,97,IT
ICT NCII,Excellence in Research,Captain,66,95,57,77,Information Systems
ICT NCII,Excellence in Research,President,53,87,97,85,Multimedia Arts
Art Award,Best in Leadership,Secretary,59,70,89,64,Multimedia Arts
Leadership Training,Gold Medalist,Secretary,85,87,82,55,Computer Science
ICT NCII,Best in Leadership,Secretary,75,76,96,74,IT
Research Symposium,Excellence in Research,Assistant,67,65,92,71,IT
Math Olympiad,Excellence in Research,Volunteer,58,90,74,85,Information Systems
Leadership Training,Programming Contest Winner,Assistant,64,72,74,50,Multimedia Arts
Debate Award,Outstanding Performance,Vice President,88,51,99,79,Multimedia Arts
Research Symposium,Programming Contest Winner,Assistant,66,87,90,52,Multimedia Arts
Research Symposium,Programming Contest Winner,President,55,71,77,50,IT
Art Award,Gold Medalist,Assistant,94,91,85,78,Multimedia Arts
Leadership Training,Gold Medalist,Secretary,94,62,86,62,IT
Math Olympiad,Best in Math,Leader,68,62,65,97,Multimedia Arts
ICT NCII,Best in Leadership,Captain,77,85,63,63,Information Systems
Sports Meet,Best Speaker,Treasurer,79,88,75,67,Information Systems
ICT NCII,Gold Medalist,Assistant,94,54,84,64,Multimedia Arts
